,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
148,148,1757,342,132,0.0142,0.0051,791.04,1004.31,25.4,0.01,20.71,0.109,147,0.0862,0.7818,128,0.0618,A
149,149,1154,371,192,0.0135,0.004,820.17,1121.81,24.15,0.01,18.4,0.1305,206,0.0754,0.7814,197,0.0902,A
150,150,1154,371,192,0.0135,0.004,791.04,1121.81,24.15,0.01,18.4,0.1305,206,0.0754,0.7814,197,0.0902,A
151,151,1959,350,134,0.0135,0.0047,800.63,1179.2,40.4,0.01,48.78,0.13699999999999998,133,0.0704,0.7808,107,0.044000000000000004,A
152,152,1959,350,134,0.0135,0.0047,791.04,1179.2,40.4,0.01,48.78,0.13699999999999998,133,0.0704,0.7808,107,0.044000000000000004,A
153,153,1203,360,117,0.0139,0.0045,894.02,1051.0,40.49,0.01,44.35,0.1709,144,0.0602,0.7799,153,0.0354,A
154,154,1203,360,117,0.0139,0.0045,791.04,1051.0,40.49,0.01,44.35,0.1709,144,0.0602,0.7799,153,0.0354,A
155,155,1358,382,131,0.0139,0.006,882.91,1107.82,10.23,0.01,3.51,0.0672,210,0.1153,0.7734,233,0.0728,A
156,156,1649,335,117,0.0139,0.0048,822.4,1105.78,29.02,0.01,23.87,0.1533,109,0.0663,0.7668,140,0.0321,A
157,157,1991,385,195,0.0124,0.0053,838.84,1106.7,25.06,0.01,20.39,0.0616,202,0.1237,0.7655,196,0.1349,A
158,158,1285,346,143,0.013000000000000001,0.0043,809.57,1029.75,48.5,0.006706538000000001,63.55,0.1467,148,0.0647,0.7619,156,0.0628,A
159,159,1285,346,143,0.013000000000000001,0.0043,791.04,1029.75,48.5,0.006706538000000001,63.55,0.1467,148,0.0647,0.7619,156,0.0628,A
160,160,1294,394,133,0.0126,0.0042,739.11,1165.94,33.69,0.01,32.15,0.1509,126,0.0578,0.7561,143,0.0712,A
161,161,1294,394,133,0.0126,0.0042,791.04,1165.94,33.69,0.01,32.15,0.1509,126,0.0578,0.7561,143,0.0712,A
162,162,1578,303,153,0.013000000000000001,0.0043,842.81,1193.97,40.92,0.01,56.57,0.1339,157,0.0699,0.7532,169,0.043,A
163,163,1578,303,153,0.013000000000000001,0.0043,791.04,1193.97,40.92,0.01,56.57,0.1339,157,0.0699,0.7532,169,0.043,A
164,164,1139,311,140,0.0149,0.0045,803.78,1106.85,20.19,0.01,12.42,0.1554,203,0.0707,0.7502,213,0.057999999999999996,A
165,165,1139,311,140,0.0149,0.0045,791.04,1106.85,20.19,0.01,12.42,0.1554,203,0.0707,0.7502,213,0.057999999999999996,A
166,166,1288,351,115,0.0145,0.004,851.29,1087.94,16.39,0.01,7.66,0.22,122,0.0482,0.7478,105,0.0148,A
167,167,1288,351,115,0.0145,0.004,791.04,1087.94,16.39,0.01,7.66,0.22,122,0.0482,0.7478,105,0.0148,A
168,168,1437,377,152,0.0143,0.0043,763.93,1187.94,14.51,0.007758136,6.58,0.1453,160,0.0709,0.7458,166,0.084,A
169,169,1437,377,152,0.0143,0.0043,791.04,1187.94,14.51,0.007758136,6.58,0.1453,160,0.0709,0.7458,166,0.084,A
170,170,1340,347,148,0.0139,0.0045,850.74,1049.6,10.94,0.01,3.66,0.1326,166,0.0733,0.7449,183,0.0446,A
171,171,1340,347,148,0.0139,0.0045,791.04,1049.6,10.94,0.01,3.66,0.1326,166,0.0733,0.7449,183,0.0446,A
172,172,1082,377,134,0.0143,0.0043,884.64,1020.69,47.57,0.008242733,75.14,0.1695,159,0.0646,0.7390000000000001,162,0.0269,A
173,173,1082,377,134,0.0143,0.0043,791.04,1020.69,47.57,0.008242733,75.14,0.1695,159,0.0646,0.7390000000000001,162,0.0269,A
174,174,1102,338,118,0.0128,0.0048,889.36,1029.88,38.38,0.01,44.28,0.1291,173,0.0669,0.7383,196,0.0894,A
175,175,1930,396,129,0.0135,0.0047,833.63,1195.82,38.95,0.01,41.25,0.134,116,0.0706,0.7371,120,0.0692,A
176,176,1862,319,130,0.0121,0.0041,779.44,1173.25,40.75,0.0065028,43.5,0.1625,74,0.0543,0.73,63,0.025,A
177,177,1862,319,130,0.0121,0.0041,791.04,1173.25,40.75,0.0065028,43.5,0.1625,74,0.0543,0.73,63,0.025,A
178,178,1831,387,174,0.0141,0.0049,770.37,1095.74,39.6,0.007137666,45.09,0.0915,140,0.1017,0.7298,165,0.1073,A
179,179,1831,387,174,0.0141,0.0049,791.04,1095.74,39.6,0.007137666,45.09,0.0915,140,0.1017,0.7298,165,0.1073,A
180,180,1506,311,146,0.0121,0.0043,785.78,1062.51,19.25,0.008266469,12.34,0.1285,124,0.064,0.7291,133,0.0944,A
181,181,1506,311,146,0.0121,0.0043,791.04,1062.51,19.25,0.008266469,12.34,0.1285,124,0.064,0.7291,133,0.0944,A
182,182,1242,300,104,0.0139,0.0042,806.1,1127.33,34.85,0.00703921,34.44,0.2108,125,0.0489,0.7266,160,0.0204,A
183,183,1242,300,104,0.0139,0.0042,791.04,1127.33,34.85,0.00703921,34.44,0.2108,125,0.0489,0.7266,160,0.0204,A
184,184,1559,332,163,0.0148,0.0052,885.41,1011.43,16.64,0.01,9.32,0.0944,198,0.1053,0.7223,241,0.0704,A
